,title,poster_path,imdb_id,vote_average
61,Apocalypse Now,/eQVH91OSxh5I2uRfJuw4owd2Fq9.jpg,tt0078788,8.282
62,Rear Window,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,tt0047396,8.359
63,Harry Potter and the Deathly Hallows: Part 2,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,tt1201607,8.105
64,Once Upon a Time in America,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,tt0087843,8.427
65,Alien,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,tt0078748,8.147
66,Call Me by Your Name,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,tt5726616,8.167
67,Top Gun: Maverick,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,tt1745960,8.26
68,The Usual Suspects,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,tt0114814,8.195
69,Reservoir Dogs,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,tt0105236,8.132
70,Scarface,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,tt0086250,8.168
71,Spider-Man: Across the Spider-Verse,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,tt9362722,8.442
72,Zack Snyder's Justice League,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,tt12361974,8.19
73,Good Will Hunting,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,tt0119217,8.149
74,WALL·E,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,tt0910970,8.078
75,Eternal Sunshine of the Spotless Mind,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,tt0338013,8.101
76,Puss in Boots: The Last Wish,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,tt3915174,8.266
77,The Wolf of Wall Street,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,tt0993846,8.035
78,Cinema Paradiso,/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg,tt0095765,8.453
79,Soul,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,tt2948372,8.15
80,The Help,/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,tt1454029,8.202
81,Terminator 2: Judgment Day,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,tt0103064,8.104
82,Full Metal Jacket,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,tt0093058,8.136
83,Harry Potter and the Prisoner of Azkaban,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,tt0304141,8.02
84,Five Feet Apart,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,tt6472976,8.287
85,Prisoners,/tuZhZ6biFMr5n9YSVuHOJnNL1uU.jpg,tt1392214,8.091
86,The Grand Budapest Hotel,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,tt2278388,8.049
87,Wonder,/ouYgAatYH4JzIThj6FI3UYf31RI.jpg,tt2543472,8.155
88,2001: A Space Odyssey,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,tt0062622,8.076
89,The Imitation Game,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,tt2084970,8.007
90,Spider-Man: No Way Home,/5weKu49pzJCt06OPpjvT80efnQj.jpg,tt10872600,7.99
91,"Three Billboards Outside Ebbing, Missouri",/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg,tt5027774,8.081
92,Bohemian Rhapsody,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,tt1727824,7.997
93,A Silent Voice: The Movie,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,tt5323662,8.402
